,Temp,TGA,DrTGA,vel_cal
13470,1148.4216310000002,3.063159,-0.001241,5
13471,302.782837,11.432777,-6.4e-05,15
13472,760.536407,4.829825,-0.000671,5
13473,426.711884,10.941136,-0.000865,15
13474,503.523193,9.918109,-0.00113,5
13475,746.9227599999999,4.920413,-0.001121,5
13476,626.0367739999999,6.259295,-0.001241,5
13477,595.215485,6.808988,-0.001582,5
13478,602.022766,6.663559,-0.001471,5
13479,810.31189,4.811053,-0.000287,10
13480,1102.602844,3.35032,-0.001064,5
13481,529.89032,9.184116,-0.002432,5
13482,537.209564,8.953602,-0.002582,5
13483,391.178764,10.807125,0.00017,5
13484,503.169556,10.38284,-0.004351,15
13485,477.147308,10.349514,-0.001039,5
13486,714.159607,5.495985,-0.002842,15
13487,809.871277,4.580341,-0.000309,5
13488,612.582397,6.471186,-0.001191,5
13489,656.746979,5.867126,-0.00052,5
13490,1016.948242,3.771041,-0.000552,5
13491,845.22998,4.45423,0.00023,5
13492,866.127686,4.610279,-0.000608,10
13493,1031.771973,4.013831,-2e-05,15
13494,950.481262,3.989936,-0.00048,5
13495,350.254913,11.432222,-0.001316,10
13496,594.78598,6.815098,-0.001612,5
13497,492.62316899999996,10.119103,-0.001582,5
13498,1024.549744,4.027227,-0.000382,15
13499,852.47937,4.428498,-0.0002,5
13500,862.71936,4.386475,-0.000431,5
13501,1001.66571,3.824402,0.000141,5
13502,1162.152649,3.648758,-0.001108,15
13503,844.062317,4.45634,-0.000613,5
13504,999.571228,4.079831,-7.1e-05,15
13505,553.594208,9.112266,-0.008344,15
13506,303.186159,11.245848,0.000247,5
13507,926.132141,4.362939,-0.000678,10
13508,640.7648320000001,6.063205,-0.0008,5
