,Temp,TGA,DrTGA,vel_cal
5685,1099.9745480000001,3.223098,-0.000411,5
5686,617.1107480000001,7.528904,-0.007392,10
5687,1108.35553,3.545125,0.000101,10
5688,638.750702,6.882231,-0.008276,15
5689,802.96814,4.278253,-0.000355,5
5690,572.541168,8.570231,-0.002484,5
5691,545.751801,9.393225,-0.002366,5
5692,540.734192,10.098753,-0.005353,15
5693,571.1533810000001,8.616784,-0.003006,5
5694,534.3459780000001,9.724759,-0.002857,5
5695,653.34726,5.823061,-0.002074,5
5696,985.305542,3.564846,-0.000415,5
5697,503.91447400000004,10.334875,-0.000892,5
5698,399.172615,11.128341,-0.000695,15
5699,1042.594116,3.401519,4.7e-05,5
5700,1004.010742,3.735523,-0.000873,15
5701,1094.739502,3.238711,-0.000513,5
5702,1079.8770140000001,3.580206,-0.000592,15
5703,469.199432,10.683731,-0.000223,5
5704,1169.978638,3.387817,-0.000909,10
5705,789.632568,4.345017,-0.000273,5
5706,960.118958,3.63993,-2.5e-05,5
5707,520.654556,10.495804,-0.002968,10
5708,528.477554,9.896597,-0.001884,5
5709,782.3890690000001,4.542771,-0.001531,15
5710,633.573578,7.074137,-0.009108,15
5711,1044.503479,3.395616,-0.000334,5
5712,1087.826538,3.592571,-0.000427,10
5713,845.094971,4.084109,-0.000823,5
5714,627.77832,7.300944,-0.010158,15
5715,371.323517,11.055638,-0.000484,5
5716,404.25201400000003,10.940443,-0.000164,5
5717,425.78018199999997,10.876203,-0.000453,5
5718,871.012756,3.982152,-0.000524,5
5719,1085.00769,3.599579,0.000223,10
5720,302.416353,11.295096,0.000378,5
5721,998.615356,3.529307,0.000204,5
5722,963.444641,3.838103,-0.000872,15
5723,560.7848819999999,8.943632,-0.002005,5
5724,479.46328700000004,10.956009,-0.000945,10
5725,939.611816,3.706987,-0.000205,5
5726,384.973831,11.005256,-0.000423,5
5727,808.765259,4.404073,-0.001621,15
5728,1060.827759,3.616342,-0.000463,15
5729,569.250183,9.298346,-0.007595,15
5730,693.584839,5.131423,-0.001024,5
5731,1103.738037,3.555469,-0.000599,10
5732,822.444641,4.186558,-0.000315,5
5733,619.4051509999999,6.772879,-0.003277,5
5734,511.896271,10.626996,-0.002808,10
5735,1129.639465,3.49415,-0.000409,10
5736,750.0288390000001,4.771872,-0.001417,10
5737,388.911263,11.164322,-0.001517,15
5738,862.909546,4.190707,-0.000217,10
5739,1061.0055539999998,3.347335,-0.000632,5
5740,1041.816223,3.689595,0.000115,10
5741,392.661926,10.980347,-0.000284,5
5742,884.823303,3.9282,-6.4e-05,5
5743,698.283142,5.397354,-0.003742,15
5744,518.1477199999999,10.480892,-0.00381,15
5745,1029.566589,3.44082,-0.000586,5
5746,756.98291,4.530744,-0.000934,5
5747,637.5092159999999,6.743106,-0.005401,10
5748,511.92247,10.216238,-0.001716,5
5749,949.385315,3.673108,-0.000124,5
5750,970.042908,3.819072,-0.00036,15
5751,1098.171875,3.572417,-0.000446,10
5752,942.516724,3.695187,-0.000574,5
5753,934.174255,3.724465,-0.000495,5
5754,842.421082,4.09696,-0.000263,5
5755,1094.570374,3.239878,-0.000635,5
5756,854.258057,4.206334,-0.000471,15
5757,878.500977,3.951795,0.000197,5
